abaixo
acerca
acerca
acima
adeus
agora
aí
ainda
alem
além
algo
algumas
ali
ambas
ambos
ano
anos
ante
antes
ao
aonde
aos
apenas
apoio
apontar
apos
após
aquela
aquelas
aquele
aqueles
aqui
aquilo
área
as
assim
até
até
atrás
através
através
baixo
bastante
bem
breve
cá
cada
catorze
cedo
cento
certamente
certeza
cima
cinco
coisa
com
com
como
conforme
contudo
corrente
cuja
cuja
cujas
cujo
cujo
cujos
custa
da
dar
das
de
de
de
debaixo
demais
dentro
desde
dez
dezanove
dezasseis
dezassete
dezoito
dia
diante
direita
dispoe
dispoem
diversa
diversas
diversos
do
dois
dos
doze
duas
durante
dúvida
e
em
em
em
embaixo
embora
enquanto
entao
entre
haja
hoje
hora
horas
inicio
ista
iste
isto
já
junto
lá
lado
lhe
lhes
ligado
local
logo
logo
longe
lugar
máximo
me
mediante
medida
meio
menos
mês
meses
mil
momento
na
nada
nao
naquela
naquelas
naquele
naqueles
nas
nem
nenhuma
nessa
nessas
nesse
nesses
nesta
nestas
neste
nestes
nível
no
noite
nome
nos
nova
novas
nove
novo
novos
num
numa
numas
número
nuns
obra
obrigada
obstante
oitava
oitavo
oito
onde
ontem
onze
ou
para
para
paucas
pela
pelas
pelo
pelos
perante
perante
perto
pois
ponto
pontos
por
por
portanto
posição
possível
possivelmente
posso
poucos
povo
primeira
primeiras
primeiro
primeiros
propios
proprio
próprios
quais
quáis
qual
qualquer
quando
quanto
quarta
quarto
quatro
que
quê
questão
quieto
quinta
quinto
quinze
relação
se
segunda
segundo
seis
sete
sétima
sétimo
sexta
sexto
sob
sob
sobre
somente
tá
tal
tanta
tantas
tanto
tão
tarde
te
tempo
tendes
terceira
terceiro
todavia
três
treze
tu
tua
tuas
tudo
último
vários
vez
vezes
viagem
vindo
vinte
vos
vós
vossa
vossas
vosso
vossos
zero
